Num, Lmd, sig,    mon,    Ring,  sec
#lmd,   E,  HOYAX,  Y,  Smpl,  Det, AGC X, Y, Smpl, Det
#13.50012,	91.8394,	12.987,	34.200,	82.900,	167.431,	0.000,	-76.000,	0.000,	29.999

1,	13.50012,	0.000025,	-0.000649,	349.829,	67.240
2,	13.50012,	0.000031,	-0.001063,	350.155,	0.490
3,	13.50012,	0.000041,	-0.001015,	350.154,	0.500
4,	13.50012,	0.000046,	-0.000937,	350.144,	0.510
5,	13.50012,	0.000050,	-0.000868,	350.128,	0.490
6,	13.50012,	0.000051,	-0.000881,	350.118,	0.500
7,	13.50012,	0.000051,	-0.000864,	350.110,	0.500
8,	13.50012,	0.000052,	-0.000858,	350.102,	0.500
9,	13.50012,	0.000049,	-0.000894,	350.083,	0.500
10,	13.50012,	0.000051,	-0.000883,	350.074,	0.510
11,	13.50012,	0.000049,	-0.000877,	350.065,	0.500
12,	13.50012,	0.000051,	-0.000899,	350.058,	0.490
13,	13.50012,	0.000050,	-0.000898,	350.037,	0.510
14,	13.50012,	0.000048,	-0.000870,	350.030,	0.490
15,	13.50012,	0.000050,	-0.000888,	350.021,	0.500
16,	13.50012,	0.000051,	-0.000876,	350.010,	0.500
17,	13.50012,	0.000049,	-0.000888,	349.992,	0.510
18,	13.50012,	0.000051,	-0.000859,	349.985,	0.490
19,	13.50012,	0.000051,	-0.000882,	349.973,	0.500
20,	13.50012,	0.000051,	-0.000877,	349.964,	0.500
21,	13.50012,	0.000050,	-0.000850,	349.949,	0.510
22,	13.50012,	0.000052,	-0.000858,	349.939,	0.490
23,	13.50012,	0.000050,	-0.000856,	349.929,	0.500
24,	13.50012,	0.000051,	-0.000874,	349.920,	0.500
25,	13.50012,	0.000049,	-0.000878,	349.903,	0.510
26,	13.50012,	0.000049,	-0.000855,	349.893,	0.490
27,	13.50012,	0.000050,	-0.000877,	349.883,	0.500
28,	13.50012,	0.000052,	-0.000889,	349.876,	0.500
29,	13.50012,	0.000051,	-0.000880,	349.856,	0.500
30,	13.50012,	0.000048,	-0.000879,	349.847,	0.500
31,	13.50012,	0.000050,	-0.000878,	349.841,	0.500
32,	13.50012,	0.000049,	-0.000886,	349.958,	0.500
33,	13.50012,	0.000053,	-0.000874,	350.192,	0.500
34,	13.50012,	0.000054,	-0.000865,	350.186,	0.500
35,	13.50012,	0.000051,	-0.000882,	350.178,	0.500
36,	13.50012,	0.000054,	-0.000886,	350.166,	0.500
37,	13.50012,	0.000054,	-0.000891,	350.151,	0.500
38,	13.50012,	0.000054,	-0.000885,	350.143,	0.510
39,	13.50012,	0.000055,	-0.000885,	350.132,	0.490
40,	13.50012,	0.000055,	-0.000884,	350.123,	0.500
