[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Parallel Beam for 4inch holder, Owner=MRD, Creation date=2012/03/27 14:08:09"
Comment - 2,"Goniometer=PW3050/65 (Theta/2Theta); Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=MRD Cradle; Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Reflectivity_Batch.xrdmp, Created identifier={007932df-34e3-4485-9cdc-ce5737d00380}, Created by=User-1, Id=User-1, Creation date=2012/04/06 17:50:18, Modified identifier={7EA62F8F-4040-438C-8392-53DC77EF1B54}, Modified by=MRD, Id=WL:DESKTOP-LQ4LR9T:MRD, Modification date=2026/04/16 17:32:52"
Comment - 6,"Fine Calibration Offset for 2Theta = -0.0003 deg"
Comment - 7,"Batch program=C:\PANalytical\Data Collector\Programs\Reflectivity_Batch_4inch.xrdmp, Created identifier={960d4441-9b31-4165-bf03-2a9b383547c1}, Created by=User-1, Id=User-1, Creation date=2012/04/06 17:52:19, Modified identifier={1DDEFD67-F033-44A2-A541-9D9449C44B64}, Modified by=MRD, Id=WL:DESKTOP-LQ4LR9T:MRD, Modification date=2026/01/14 13:23:43"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 45
Tube current, 40
File date and time,29/4/2026 19:58
Unit cell,
h k l, 0 0 0
Scan axis,Omega-2Theta
Scan range,-0.10000,6.00000
Scan step size,0.0020000
Omega offset,0.0000
No. of points, 3050
Scan type,CONTINUOUS
Phi,0.00
Psi,-0.45
X,0.00
Y,0.00
Z,9.312
Time per step,2.00
[Scan points]
Angle, TimePerStep, Intensity, ESD
-0.09900, 2.00, 1.0, 1.0000
-0.09700, 2.00, 0.0, 0.0000
-0.09500, 2.00, 1.0, 1.0000
-0.09300, 2.00, 0.0, 0.0000
-0.09100, 2.00, 1.0, 1.0000
-0.08900, 2.00, 0.0, 0.0000
-0.08700, 2.00, 1.0, 1.0000
-0.08500, 2.00, 0.0, 0.0000
-0.08300, 2.00, 0.0, 0.0000
-0.08100, 2.00, 1.0, 1.0000
-0.07900, 2.00, 0.0, 0.0000
-0.07700, 2.00, 0.0, 0.0000
-0.07500, 2.00, 0.0, 0.0000
-0.07300, 2.00, 1.0, 1.0000
-0.07100, 2.00, 0.0, 0.0000
-0.06900, 2.00, 0.0, 0.0000
-0.06700, 2.00, 0.0, 0.0000
-0.06500, 2.00, 2.0, 1.4142
-0.06300, 2.00, 0.0, 0.0000
-0.06100, 2.00, 0.0, 0.0000
-0.05900, 2.00, 1.0, 1.0000
-0.05700, 2.00, 1.0, 1.0000
-0.05500, 2.00, 1.0, 1.0000
-0.05300, 2.00, 0.0, 0.0000
-0.05100, 2.00, 0.0, 0.0000
-0.04900, 2.00, 0.0, 0.0000
-0.04700, 2.00, 0.0, 0.0000
-0.04500, 2.00, 0.0, 0.0000
-0.04300, 2.00, 1.0, 1.0000
-0.04100, 2.00, 1.0, 1.0000
-0.03900, 2.00, 4.0, 2.0000
-0.03700, 2.00, 0.0, 0.0000
-0.03500, 2.00, 1.0, 1.0000
-0.03300, 2.00, 2.0, 1.4142
-0.03100, 2.00, 0.0, 0.0000
-0.02900, 2.00, 3.0, 1.7321
-0.02700, 2.00, 3.0, 1.7321
-0.02500, 2.00, 5.0, 2.2361
-0.02300, 2.00, 7.0, 2.6458
-0.02100, 2.00, 6.0, 2.4495
-0.01900, 2.00, 12.0, 3.4641
-0.01700, 2.00, 10.0, 3.1623
-0.01500, 2.00, 29.0, 5.3852
-0.01300, 2.00, 111.0, 10.5357
-0.01100, 2.00, 537.0, 23.1733
-0.00900, 2.00, 3083.0, 55.5248
-0.00700, 2.00, 17576.0, 132.5745
-0.00500, 2.00, 91628.0, 302.7012
-0.00300, 2.00, 388028.0, 622.9189
-0.00100, 2.00, 1159824.0, 9201.4755
0.00100, 2.00, 2599968.0, 13776.7073
0.00300, 2.00, 3772859.0, 16595.7436
0.00500, 2.00, 3682339.0, 16395.4490
0.00700, 2.00, 2886566.0, 14516.1744
0.00900, 2.00, 1930777.0, 11872.0984
0.01100, 2.00, 1205376.0, 9380.4290
0.01300, 2.00, 831947.0, 912.1113
0.01500, 2.00, 575470.0, 758.5974
0.01700, 2.00, 460982.0, 678.9566
0.01900, 2.00, 417440.0, 646.0960
0.02100, 2.00, 409650.0, 640.0391
0.02300, 2.00, 416461.0, 645.3379
0.02500, 2.00, 432651.0, 657.7621
0.02700, 2.00, 456828.0, 675.8905
0.02900, 2.00, 483018.0, 694.9950
0.03100, 2.00, 513938.0, 716.8947
0.03300, 2.00, 541163.0, 735.6378
