[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Parallel Beam for 4inch holder, Owner=MRD, Creation date=2012/03/27 14:08:09"
Comment - 2,"Goniometer=PW3050/65 (Theta/2Theta); Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=MRD Cradle; Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Reflectivity_Batch.xrdmp, Created identifier={007932df-34e3-4485-9cdc-ce5737d00380}, Created by=User-1, Id=User-1, Creation date=2012/04/06 17:50:18, Modified identifier={01A055E3-DCDA-4635-B331-E09B5544CB74}, Modified by=MRD, Id=WL:DESKTOP-LQ4LR9T:MRD, Modification date=2026/06/06 6:36:24"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0002 deg"
Comment - 7,"Batch program=C:\PANalytical\Data Collector\Programs\Reflectivity_Batch_4inch.xrdmp, Created identifier={960d4441-9b31-4165-bf03-2a9b383547c1}, Created by=User-1, Id=User-1, Creation date=2012/04/06 17:52:19, Modified identifier={1DDEFD67-F033-44A2-A541-9D9449C44B64}, Modified by=MRD, Id=WL:DESKTOP-LQ4LR9T:MRD, Modification date=2026/01/14 13:23:43"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 45
Tube current, 40
File date and time,06/6/2026 06:54
Unit cell,
h k l, 0 0 0
Scan axis,Omega-2Theta
Scan range,-0.10000,6.00000
Scan step size,0.0020000
Omega offset,0.0000
No. of points, 3050
Scan type,CONTINUOUS
Phi,0.00
Psi,-0.48
X,0.00
Y,0.00
Z,9.302
Time per step,2.00
[Scan points]
Angle, TimePerStep, Intensity, ESD
-0.09900, 2.00, 1.0, 1.0000
-0.09700, 2.00, 3.0, 1.7321
-0.09500, 2.00, 2.0, 1.4142
-0.09300, 2.00, 0.0, 0.0000
-0.09100, 2.00, 4.0, 2.0000
-0.08900, 2.00, 1.0, 1.0000
-0.08700, 2.00, 0.0, 0.0000
-0.08500, 2.00, 1.0, 1.0000
-0.08300, 2.00, 0.0, 0.0000
-0.08100, 2.00, 1.0, 1.0000
-0.07900, 2.00, 3.0, 1.7321
-0.07700, 2.00, 2.0, 1.4142
-0.07500, 2.00, 1.0, 1.0000
-0.07300, 2.00, 1.0, 1.0000
-0.07100, 2.00, 0.0, 0.0000
-0.06900, 2.00, 0.0, 0.0000
-0.06700, 2.00, 3.0, 1.7321
-0.06500, 2.00, 0.0, 0.0000
-0.06300, 2.00, 0.0, 0.0000
-0.06100, 2.00, 1.0, 1.0000
-0.05900, 2.00, 1.0, 1.0000
-0.05700, 2.00, 0.0, 0.0000
-0.05500, 2.00, 2.0, 1.4142
-0.05300, 2.00, 2.0, 1.4142
-0.05100, 2.00, 3.0, 1.7321
-0.04900, 2.00, 1.0, 1.0000
-0.04700, 2.00, 1.0, 1.0000
-0.04500, 2.00, 2.0, 1.4142
-0.04300, 2.00, 0.0, 0.0000
-0.04100, 2.00, 2.0, 1.4142
-0.03900, 2.00, 2.0, 1.4142
-0.03700, 2.00, 0.0, 0.0000
-0.03500, 2.00, 4.0, 2.0000
-0.03300, 2.00, 2.0, 1.4142
-0.03100, 2.00, 2.0, 1.4142
-0.02900, 2.00, 1.0, 1.0000
-0.02700, 2.00, 3.0, 1.7321
-0.02500, 2.00, 5.0, 2.2361
-0.02300, 2.00, 5.0, 2.2361
-0.02100, 2.00, 8.0, 2.8284
-0.01900, 2.00, 9.0, 3.0000
-0.01700, 2.00, 10.0, 3.1623
-0.01500, 2.00, 21.0, 4.5826
-0.01300, 2.00, 94.0, 9.6954
-0.01100, 2.00, 493.0, 22.2036
-0.00900, 2.00, 3029.0, 55.0364
-0.00700, 2.00, 17900.0, 133.7909
-0.00500, 2.00, 91407.0, 302.3359
-0.00300, 2.00, 385706.0, 621.0523
-0.00100, 2.00, 1121718.0, 9049.0560
0.00100, 2.00, 2519303.0, 13561.3096
0.00300, 2.00, 3701757.0, 16438.6210
0.00500, 2.00, 3755631.0, 16557.8097
0.00700, 2.00, 2920657.0, 14601.6424
0.00900, 2.00, 1975161.0, 12007.7789
0.01100, 2.00, 1262681.0, 9600.8184
0.01300, 2.00, 865735.0, 930.4488
0.01500, 2.00, 592527.0, 769.7578
0.01700, 2.00, 473051.0, 687.7870
0.01900, 2.00, 428451.0, 654.5617
0.02100, 2.00, 417608.0, 646.2260
0.02300, 2.00, 426561.0, 653.1164
0.02500, 2.00, 445951.0, 667.7956
0.02700, 2.00, 470024.0, 685.5830
0.02900, 2.00, 498394.0, 705.9703
0.03100, 2.00, 527048.0, 725.9807
0.03300, 2.00, 558358.0, 747.2336
0.03500, 2.00, 588197.0, 766.9400
0.03700, 2.00, 617648.0, 785.9058
0.03900, 2.00, 650729.0, 806.6778
0.04100, 2.00, 678152.0, 823.4998
0.04300, 2.00, 706384.0, 840.4665
0.04500, 2.00, 736815.0, 858.3793
0.04700, 2.00, 767123.0, 875.8556
0.04900, 2.00, 796458.0, 892.4450
0.05100, 2.00, 826196.0, 908.9532
0.05300, 2.00, 852137.0, 923.1127
0.05500, 2.00, 879233.0, 937.6743
0.05700, 2.00, 907602.0, 952.6815
0.05900, 2.00, 934917.0, 966.9111
0.06100, 2.00, 959959.0, 979.7750
0.06300, 2.00, 986648.0, 993.3016
0.06500, 2.00, 926662.0, 8224.7387
0.06700, 2.00, 959001.0, 8367.0229
0.06900, 2.00, 979003.0, 8453.8287
0.07100, 2.00, 1015503.0, 8609.9779
0.07300, 2.00, 1030541.0, 8673.4937
0.07500, 2.00, 1054777.0, 8774.8915
0.07700, 2.00, 1080473.0, 8881.1333
0.07900, 2.00, 1096752.0, 8947.7872
0.08100, 2.00, 1098504.0, 8954.9312
0.08300, 2.00, 1131135.0, 9086.9607
0.08500, 2.00, 1153619.0, 9176.8288
0.08700, 2.00, 1180702.0, 9283.9241
0.08900, 2.00, 1208296.0, 9391.7841
0.09100, 2.00, 1219246.0, 9434.2439
0.09300, 2.00, 1237058.0, 9502.9066
0.09500, 2.00, 1262608.0, 9600.5408
0.09700, 2.00, 1279690.0, 9665.2662
0.09900, 2.00, 1291224.0, 9708.7256
0.10100, 2.00, 1326410.0, 9840.1184
0.10300, 2.00, 1349186.0, 9924.2419
0.10500, 2.00, 1338820.0, 9886.0437
0.10700, 2.00, 1381160.0, 10041.1493
0.10900, 2.00, 1397220.0, 10099.3594
0.11100, 2.00, 1392110.0, 10080.8745
0.11300, 2.00, 1413426.0, 10157.7605
0.11500, 2.00, 1434158.0, 10231.9858
